begin_node_id,end_node_id,Other Volume
42466266,42466273,1270
42466273,42466282,1270
42466273,42466266,1690
42466259,42466249,1454
42466266,42466259,1690
42466259,42466266,1433
42465878,42465881,7420
277385050,42866377,1518
42429394,595682316,500
42441299,595314120,1581
42466239,42466244,915
42466244,42466249,915
42466244,42466239,1328
42466234,42466227,1328
42466239,42466234,1328
42466234,42466239,915
42466209,42466204,1237
42466219,42466227,915
42466227,42466234,915
42466227,42466219,1328
42466214,42466209,1237
42466219,42466214,1328
42466214,42466219,1287
42761088,42761092,1041
42466191,42466189,1357
42466202,42466200,1356
42466204,42466202,1237
42860194,42835415,5938
42466192,42466191,1357
42466200,42466196,1356
42466196,42466192,1357
42466179,42466172,1454
42466186,42466184,1454
42466189,42466188,1357
42466188,42466186,1454
42466180,42466179,1454
42466184,42466183,1454
42466183,42466180,1454
42911782,593300772,3232
42465233,42491625,3799
597444023,106100961,2919
1064257394,42846335,2459
42761082,42761088,1041
42761006,42763131,2633
276065579,42874694,1975
276298606,276299309,5071
42466172,42465649,1454
42465234,42491625,2772
42515829,42497780,1149
42515844,42497624,1486
561042202,100522731,1529
42757938,2025188866,2959
42808179,42872060,1140
2757013684,42860247,5938
42465893,42465899,7420
42427242,1584024995,1055
42464934,42500051,1010
103873490,103866947,8848
598227835,42478164,1397
42760885,42760889,1041
598227849,42476753,1438
295516882,295517111,13893
449616592,598248807,7768
2569923500,42453398,3552
42514918,42520415,2252
405984035,42450656,8453
42465899,42465906,7420
42465926,42465770,870
42465906,42465738,9194
42428922,561035357,2749
42465265,42465263,1348
42809589,42809585,1438
42858918,42858920,1312
276032821,371034162,5471
42480088,1692483438,2531
42444487,596776173,631
42515023,42515022,804
42505420,598033003,747
42465852,42465857,1155
42909624,42864880,1324
42761249,42745890,1985
42808195,42861204,1543
449618008,598202939,15735
42514454,42531627,1257
276065579,42864879,1580
42761340,42741118,2534
276318043,42901546,4622
42909564,42864781,1807
42858920,42858924,1312
589298625,42450645,8354
42761092,42748183,1224
42807755,42874655,1974
42465857,42463398,4745
42858980,42858987,4316
42858987,42858990,1437
42761237,42743425,1985
42858924,42858925,1312
42858939,42858943,1437
42465728,42465893,7420
42858943,42858947,1436
42809781,42809784,1438
42809787,42809790,1438
42809784,42809787,2878
42809593,42809589,1438
42809642,42809639,1438
42859976,42825307,2325
42858907,42858910,1437
42858913,42858918,1437
42858910,42858913,1437
42860167,42819392,5938
42464827,42492210,794
42858898,42858903,1437
42809645,42809642,1438
277386523,42802987,2325
42464538,42500039,742
42465257,42477241,1690
42809649,42809645,1438
42465279,42475977,1292
42809660,42809649,1438
42809596,42809593,1438
42809627,42809624,1438
42809639,42809637,1438
2757013712,42842881,5938
276067533,42795952,2158
42809630,42809627,1438
42809637,42809632,1438
42809632,42809630,1438
42809599,42809596,1438
42809618,42809615,1438
42809624,42809622,1438
42809622,42809618,1438
42909227,42866903,2929
42809615,42809611,1438
42809602,42809599,1438
42465267,42465265,1348
103879734,440243679,6945
2141026493,2141026501,3952
42809560,42809554,1438
42809579,42809568,2878
42809585,42809582,1438
42809582,42809579,1438
103872293,103886410,3958
42516187,42467396,804
42809568,42809560,2878
2408421436,481404934,13486
2141026501,2141026493,2846
405984035,42436716,2810
42809554,42809551,2878
42910163,42836198,1616
42809551,42809549,2878
42761265,42733534,1984
370924677,42424183,3537
339044224,42436393,1186
42809539,42809536,2460
42809543,42809539,2460
42761241,42733958,1985
42428374,1506902240,315
42856569,42923767,2467
42760889,42744118,1041
593915267,42452975,2376
42514554,42514549,2315
42809549,42807081,2878
42463398,42527617,4745
42908962,42869967,1479
42807836,42859957,1471
42807818,42859920,1977
42465270,42465267,1348
42514454,42514451,1655
42807752,42860012,2893
42465343,42465340,1266
42465349,42465343,1266
42807554,42867023,3041
42859942,42815107,1194
42465340,42465336,1150
42465336,42465332,1150
42465305,42465301,1348
42465312,42465309,1348
42465318,42465315,1150
42465315,42465312,1348
42437826,589100711,1777
103872547,103872546,9261
42465309,42465305,1348
42465273,42465270,1348
595245925,1672106382,2287
42465298,42465296,1348
42465301,42465298,1348
42514451,42514448,1655
42465292,42465288,1348
42465296,42465294,1348
42465294,42465292,1348
